"","TLC","Station_Name","Entries.and.exits...Full.price.tickets","Entries.and.exits...Reduced.price.tickets","Entries.and.exits...Season.tickets","Tickets_Sold","Rank_Tickets","Interchanges","Main_OD","NLC","Region","Station_Owner","TRUE.","FALSE.","Route_Name"
"365","BKM","Berkhamsted",391396,507068,124902,1023366,445,0,"London Euston",1390,"East of England","West Midlands Trains (London Northwestern Railway)",0,1,"West Coast Main Line"
"366","BKN","Birkenhead North",464062,269390,145026,878478,516,71783,"Liverpool Central",2145,"North West","Merseyrail",0,1,"Merseyrail Wirral Line"
"367","BKO","Brookwood",322252,261576,139558,723386,595,45458,"London Waterloo",5687,"South East","South Western Railway",1,0,"Bournemouth Main Line"
"368","BKP","Birkenhead Park",264098,218144,114218,596460,678,0,"Liverpool Central",2220,"North West","Merseyrail",0,1,"Merseyrail Wirral Line"
"369","BKQ","Birkenhead Hamilton Square",696478,405278,193002,1294758,351,329065,"Liverpool Central",2219,"North West","Merseyrail",1,0,"Merseyrail Wirral Line"
"370","BKQ","Birkenhead Hamilton Square",696478,405278,193002,1294758,351,329065,"Liverpool Central",2219,"North West","Merseyrail",1,0,"Wirral Tramway"
"371","BKR","Blackridge",15778,18682,2822,37282,2048,0,"Edinburgh",991,"Scotland","ScotRail",0,1,"Edinburgh to Glasgow via Bathgate"
"372","BKS","Bekesbourne",10050,9366,3454,22870,2186,0,"Canterbury East",5198,"South East","Southeastern",0,1,"Chatham Main Line"
"373","BKT","Blake Street",72170,92716,99366,264252,1093,0,"Birmingham New Street",1176,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Aston and Lichfield City Line"
"374","BKT","Blake Street",72170,92716,99366,264252,1093,0,"Birmingham New Street",1176,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Cross-City Line"
"375","BKW","Berkswell",55380,94394,72434,222208,1195,0,"Birmingham New Street",1045,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"West Coast Main Line"
"376","BKW","Berkswell",55380,94394,72434,222208,1195,0,"Birmingham New Street",1045,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Rugby Birmingham and Stafford Line"
"377","BLA","Blair Atholl",4978,8384,40,13402,2285,0,"Edinburgh",8750,"Scotland","ScotRail",0,1,"Highland Main Line"
"378","BLB","Battlesbridge",6768,6700,5618,19086,2220,0,"London Liverpool Street",6870,"East of England","Greater Anglia",0,1,"Crouch Valley Line"
"379","BLD","Baildon",71930,49764,93048,214742,1212,0,"Guiseley",8552,"Yorkshire and The Humber","Northern Trains",0,1,"Wharfedale Line"
"380","BLE","Bramley (West Yorkshire)",115462,93030,49710,258202,1106,0,"Leeds",8496,"Yorkshire and The Humber","Northern Trains",0,1,"Leeds and Bradford Exchange Line"
"381","BLG","Bellgrove",173078,333678,47290,554046,715,15751,"Glasgow Queen Street",9895,"Scotland","ScotRail",0,1,"High Street Junction to Shields Junction Chord"
"382","BLG","Bellgrove",173078,333678,47290,554046,715,15751,"Glasgow Queen Street",9895,"Scotland","ScotRail",0,1,"Springburn Line"
"383","BLG","Bellgrove",173078,333678,47290,554046,715,15751,"Glasgow Queen Street",9895,"Scotland","ScotRail",0,1,"North Clyde Line"
"384","BLH","Bellshill",160708,248068,102468,511244,763,31838,"Glasgow Central",9714,"Scotland","ScotRail",0,1,"Edinburgh to Glasgow via Shotts"
"385","BLK","Blackrod",37076,42952,74216,154244,1399,0,"Manchester Piccadilly",2732,"North West","Northern Trains",0,1,"Manchester to Preston Line"
"386","BLL","Bardon Mill",2864,5396,10,8270,2352,0,"Newcastle",7563,"North East","Northern Trains",0,1,"Newcastle and Carlisle Railway"
"387","BLM","Belmont",53112,51540,39884,144536,1435,0,"West Croydon",5350,"London","Govia Thameslink Railway (Southern)",0,1,"Epsom Downs Branch"
"388","BLN","Blundellsands and Crosby",285914,822824,256270,1365008,336,0,"Liverpool Central",2123,"North West","Merseyrail",0,1,"Merseyrail Northern Line"
"389","BLO","Blaydon",8306,26602,9250,44158,1988,0,"Newcastle",7503,"North East","Northern Trains",0,1,"Newcastle and Carlisle Railway"
"390","BLP","Belper",49656,111904,6930,168490,1350,1672,"Derby",1679,"East Midlands","East Midlands Railway",0,1,"Midland Main Line"
"391","BLT","Blantyre",99954,168076,44218,312248,988,0,"Glasgow Central",9716,"Scotland","ScotRail",0,1,"Hamilton Circle Line"
"392","BLV","Belle Vue",2822,2514,1208,6544,2374,0,"Manchester Piccadilly",2785,"North West","Northern Trains",0,1,"Hope Valley Line"
"393","BLW","Bulwell",30646,13996,11694,56336,1898,0,"Mansfield",1865,"East Midlands","East Midlands Railway",0,1,"Robin Hood Line"
"394","BLW","Bulwell",30646,13996,11694,56336,1898,0,"Mansfield",1865,"East Midlands","East Midlands Railway",0,1,"Nottingham Express Transit Line"
"395","BLX","Bloxwich",33446,40254,1346,75046,1766,0,"Birmingham New Street",1141,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Chase Line"
"396","BLY","Bletchley",136414,414180,183616,734210,587,58278,"London Euston",1360,"South East","West Midlands Trains (London Northwestern Railway)",1,0,"Marston Vale Line"
"397","BLY","Bletchley",136414,414180,183616,734210,587,58278,"London Euston",1360,"South East","West Midlands Trains (London Northwestern Railway)",1,0,"West Coast Main Line"
"398","BLY","Bletchley",136414,414180,183616,734210,587,58278,"London Euston",1360,"South East","West Midlands Trains (London Northwestern Railway)",1,0,"East West Rail"
"399","BMB","Bamber Bridge",19234,38746,11188,69168,1803,0,"Preston (Lancs)",2561,"North West","Northern Trains",0,1,"East Lancashire Line"
"400","BMC","Bromley Cross (Lancs)",90432,92266,56316,239014,1152,0,"Manchester Victoria",2697,"North West","Northern Trains",0,1,"Ribble Valley Line"
"401","BMD","Brimsdown",325696,472108,139768,937572,479,0,"Tottenham Hale",6810,"London","Greater Anglia",0,1,"Lea Valley Lines"
"402","BME","Broome",518,104,0,622,2533,0,"Shrewsbury",4175,"West Midlands","TfW Rail",0,1,"Heart of Wales Line"
"403","BMF","Broomfleet",222,506,62,790,2523,0,"Hull",8050,"Yorkshire and The Humber","Northern Trains",0,1,"Hull Line"
"404","BMG","Barming",57864,116374,30708,204946,1238,0,"London Victoria",5133,"South East","Southeastern",0,1,"Kent Downs Line"
"405","BMH","Bournemouth",433204,1895664,101256,2430124,191,48487,"London Waterloo",5876,"South West","South Western Railway",1,0,"South Western Main Line"
"406","BML","Bramhall",56760,66854,25694,149308,1420,0,"Manchester Piccadilly",2944,"North West","Northern Trains",0,1,"Stafford to Manchester Line"
"407","BMN","Bromley North",66136,76374,37386,179896,1309,0,"London Bridge",5096,"London","Southeastern",0,1,"Bromley North and Grove Park Line"
"408","BMO","Birmingham Moor Street",1635602,2527772,1362402,5525776,71,335256,"Solihull",4515,"West Midlands","Chiltern Railways",1,0,"Chiltern Main Line"
"409","BMO","Birmingham Moor Street",1635602,2527772,1362402,5525776,71,335256,"Solihull",4515,"West Midlands","Chiltern Railways",1,0,"Didcot and Chester Line"
"410","BMO","Birmingham Moor Street",1635602,2527772,1362402,5525776,71,335256,"Solihull",4515,"West Midlands","Chiltern Railways",1,0,"Proof House Junction and Bushbury Junction Line"
"411","BMO","Birmingham Moor Street",1635602,2527772,1362402,5525776,71,335256,"Solihull",4515,"West Midlands","Chiltern Railways",1,0,"Birmingham and Gloucester Line"
"412","BMO","Birmingham Moor Street",1635602,2527772,1362402,5525776,71,335256,"Solihull",4515,"West Midlands","Chiltern Railways",1,0,"Rugby Birmingham and Stafford Line"
"413","BMO","Birmingham Moor Street",1635602,2527772,1362402,5525776,71,335256,"Solihull",4515,"West Midlands","Chiltern Railways",1,0,"Derby to Birmingham (Proof House Junction) Line"
"414","BMP","Brampton (Cumbria)",3572,6342,46,9960,2328,0,"Newcastle",7565,"North West","Northern Trains",0,1,"Newcastle and Carlisle Railway"
"415","BMR","Bromborough Rake",69286,95118,49080,213484,1215,0,"Liverpool Central",2191,"North West","Merseyrail",0,1,"Merseyrail Wirral Line"
"416","BMS","Bromley South",1751032,2892144,900120,5543296,69,764420,"London Victoria",5064,"London","Southeastern",1,0,"Chatham Main Line"
"417","BMT","Bedminster",48562,46968,7716,103246,1616,0,"Oldfield Park",3245,"South West","Great Western Railway",0,1,"Bristol to Taunton Line"
"418","BMV","Bromsgrove",239990,174706,98478,513174,762,0,"Birmingham New Street",4715,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Birmingham and Gloucester Line"
"419","BMY","Bramley (Hampshire)",52280,129526,37714,219520,1200,0,"Basingstoke",5500,"South East","Great Western Railway",0,1,"Reading to Basingstoke Line"
"420","BNA","Burnage",57482,61854,22852,142188,1445,0,"Manchester Piccadilly",2945,"North West","Northern Trains",0,1,"Styal Line"
"421","BNC","Burnley Central",29640,50228,20314,100182,1632,7,"Accrington",2550,"North West","Northern Trains",0,1,"East Lancashire Line"
"422","BND","Brandon",48198,56440,10464,115102,1553,0,"Norwich",7200,"East of England","Greater Anglia",0,1,"Breckland Line"
"423","BNE","Bourne End",64376,80288,49394,194058,1265,84287,"London Paddington",3018,"South East","Great Western Railway",0,1,"Marlow Branch Line"
"424","BNF","Briton Ferry",20684,2772,1966,25422,2153,0,"Swansea",4187,"Wales","TfW Rail",0,1,"Swansea District Railway"
"425","BNF","Briton Ferry",20684,2772,1966,25422,2153,0,"Swansea",4187,"Wales","TfW Rail",0,1,"South Wales Main Line"
"426","BNG","Bangor (Gwynedd)",164526,394588,18896,578010,689,502,"London Euston",2471,"Wales","TfW Rail",0,1,"Rheilffordd Arfordir Gogledd Cymru / North Wales Coast Line"
"427","BNH","Barnehurst",322854,361682,156496,841032,528,0,"London Bridge",5089,"London","Southeastern",0,1,"Bexleyheath Line"
"428","BNI","Barnes Bridge",257144,313590,113844,684578,623,0,"London Waterloo",5580,"London","South Western Railway",0,1,"Waterloo to Reading Line"
"429","BNI","Barnes Bridge",257144,313590,113844,684578,623,0,"London Waterloo",5580,"London","South Western Railway",0,1,"Hounslow Loop Line"
"430","BNL","Barnhill",18242,30734,5518,54494,1916,0,"Glasgow Queen Street",9973,"Scotland","ScotRail",0,1,"Cumbernauld Line"
"431","BNL","Barnhill",18242,30734,5518,54494,1916,0,"Glasgow Queen Street",9973,"Scotland","ScotRail",0,1,"Sighthill Loop Line"
"432","BNL","Barnhill",18242,30734,5518,54494,1916,0,"Glasgow Queen Street",9973,"Scotland","ScotRail",0,1,"Springburn Line"
"433","BNM","Burnham (Buckinghamshire)",410526,587466,259840,1257832,359,0,"London Paddington",3176,"South East","Elizabeth line",1,0,"Elizabeth Line"
"434","BNM","Burnham (Buckinghamshire)",410526,587466,259840,1257832,359,0,"London Paddington",3176,"South East","Elizabeth line",1,0,"Great Western Main Line"
"435","BNM","Burnham (Buckinghamshire)",410526,587466,259840,1257832,359,0,"London Paddington",3176,"South East","Elizabeth line",1,0,"Elizabeth line"
"436","BNP","Barnstaple",75328,306956,154656,536940,739,0,"Exeter Central",5725,"South West","Great Western Railway",0,1,"Tarka Line"
"437","BNS","Barnes",671828,824192,409180,1905200,253,17391,"London Waterloo",5551,"London","South Western Railway",0,1,"Hounslow Loop Line"
"438","BNS","Barnes",671828,824192,409180,1905200,253,17391,"London Waterloo",5551,"London","South Western Railway",0,1,"Waterloo to Reading Line"
"439","BNT","Brinnington",31264,31170,19638,82072,1725,0,"Manchester Piccadilly",2603,"North West","Northern Trains",0,1,"Hope Valley Line"
"440","BNV","Banavie",2102,2182,0,4284,2414,0,"Mallaig",8839,"Scotland","ScotRail",0,1,"West Highland Line"
"441","BNW","Bootle New Strand",196850,401382,149260,747492,579,1254,"Liverpool Central",2195,"North West","Merseyrail",0,1,"Merseyrail Northern Line"
"442","BNW","Bootle New Strand",196850,401382,149260,747492,579,1254,"Liverpool Central",2195,"North West","Merseyrail",0,1,"Hunts Cross to Southport Line"
"443","BNY","Barnsley",424502,613256,175576,1213334,365,22708,"Sheffield",6774,"Yorkshire and The Humber","Northern Trains",0,1,"Penistone Line"
"444","BNY","Barnsley",424502,613256,175576,1213334,365,22708,"Sheffield",6774,"Yorkshire and The Humber","Northern Trains",0,1,"Hallam Line"
"445","BOA","Bradford-On-Avon",180694,215466,30540,426700,842,6234,"Bath Spa",3341,"South West","Great Western Railway",0,1,"Wessex Mainline"
"446","BOC","Bootle (Cumbria)",3660,7458,848,11966,2303,0,"Millom",1993,"North West","Northern Trains",0,1,"Carnforth Barrow and Carlisle Line"
"447","BOD","Bodmin Parkway",7200,238908,15308,261416,1099,0,"London Paddington",3501,"South West","Great Western Railway",0,1,"The Cornish Main Line"
"448","BOE","Botley",30954,72650,21840,125444,1504,0,"London Waterloo",5894,"South East","South Western Railway",0,1,"Eastleigh to Fareham Line"
"449","BOG","Bognor Regis",194264,578096,252664,1025024,444,0,"Barnham",5253,"South East","Govia Thameslink Railway (Southern)",1,0,"West Coastway Line"
"450","BOH","Bosham",20544,27564,11096,59204,1879,0,"Chichester",5254,"South East","Govia Thameslink Railway (Southern)",0,1,"West Coastway Line"
"451","BOM","Bromborough",207200,214098,105252,526550,745,0,"Liverpool Central",2190,"North West","Merseyrail",0,1,"Merseyrail Wirral Line"
"452","BON","Bolton",676932,1434132,388258,2499322,184,422583,"Manchester Piccadilly",2599,"North West","Northern Trains",1,0,"Ribble Valley Line"
"453","BON","Bolton",676932,1434132,388258,2499322,184,422583,"Manchester Piccadilly",2599,"North West","Northern Trains",1,0,"Manchester to Preston Line"
"454","BOP","Bowes Park",165552,158202,79198,402952,862,0,"Old Street",6027,"London","Govia Thameslink Railway (Great Northern)",0,1,"Piccadilly Line"
"455","BOP","Bowes Park",165552,158202,79198,402952,862,0,"Old Street",6027,"London","Govia Thameslink Railway (Great Northern)",0,1,"Hertford Loop Line"
"456","BOR","Bodorgan",2514,2350,92,4956,2398,0,"Bangor (Gwynedd)",2435,"Wales","TfW Rail",0,1,"Rheilffordd Arfordir Gogledd Cymru / North Wales Coast Line"
"457","BOT","Bootle Oriel Road",153814,313632,116628,584074,685,0,"Liverpool Central",2239,"North West","Merseyrail",0,1,"Merseyrail Northern Line"
"458","BOT","Bootle Oriel Road",153814,313632,116628,584074,685,0,"Liverpool Central",2239,"North West","Merseyrail",0,1,"Seaforth Container Terminal Branch"
"459","BOT","Bootle Oriel Road",153814,313632,116628,584074,685,0,"Liverpool Central",2239,"North West","Merseyrail",0,1,"Hunts Cross to Southport Line"
"460","BPB","Blackpool Pleasure Beach",11906,120126,1050,133082,1482,0,"Preston (Lancs)",2738,"North West","Northern Trains",0,1,"South Fylde Community Railway Line"
"461","BPK","Brookmans Park",100850,99688,19008,219546,1199,0,"Moorgate",6074,"East of England","Govia Thameslink Railway (Great Northern)",0,1,"East Coast Main Line"
"462","BPN","Blackpool North",175268,1691274,42236,1908778,252,987,"Preston (Lancs)",2739,"North West","Northern Trains",1,0,"Preston and Blackpool North Branch"
"463","BPS","Blackpool South",13616,84606,6342,104564,1607,0,"Preston (Lancs)",2740,"North West","Northern Trains",0,1,"South Fylde Community Railway Line"
"464","BPT","Bishopton (Renfrewshire)",155020,299080,97466,551566,722,0,"Glasgow Central",9620,"Scotland","ScotRail",0,1,"Gourock Line"
"465","BPW","Bristol Parkway",318880,1445160,59606,1823646,267,677864,"London Paddington",3230,"South West","Great Western Railway",1,0,"South Wales Main Line"
"466","BPW","Bristol Parkway",318880,1445160,59606,1823646,267,677864,"London Paddington",3230,"South West","Great Western Railway",1,0,"Filton East Curve"
"467","BRA","Brora",3448,1146,0,4594,2407,0,"Inverness",8618,"Scotland","ScotRail",0,1,"Far North Line"
"468","BRC","Breich",2506,1926,52,4484,2408,0,"Edinburgh",9251,"Scotland","ScotRail",0,1,"Edinburgh to Glasgow via Shotts"
"469","BRE","Brentwood",1176284,1336510,336818,2849612,160,0,"London Liverpool Street",6872,"East of England","Elizabeth line",1,0,"Elizabeth Line"
"470","BRE","Brentwood",1176284,1336510,336818,2849612,160,0,"London Liverpool Street",6872,"East of England","Elizabeth line",1,0,"Great Eastern Main Line"
"471","BRF","Brierfield",8684,15436,5290,29410,2119,0,"Blackburn",2554,"North West","Northern Trains",0,1,"East Lancashire Line"
"472","BRG","Borough Green and Wrotham",110566,116150,80234,306950,1001,0,"London Bridge",5130,"South East","Southeastern",0,1,"Kent Downs Line"
"473","BRH","Borth",32372,12022,508,44902,1982,0,"Aberystwyth",4304,"Wales","TfW Rail",0,1,"Cambrian Line"
"474","BRI","Bristol Temple Meads",2268610,6603686,419384,9291680,40,1242101,"London Paddington",3231,"South West","Network Rail",1,0,"Great Western Main Line"
"475","BRI","Bristol Temple Meads",2268610,6603686,419384,9291680,40,1242101,"London Paddington",3231,"South West","Network Rail",1,0,"Bristol to Taunton Line"
"476","BRI","Bristol Temple Meads",2268610,6603686,419384,9291680,40,1242101,"London Paddington",3231,"South West","Network Rail",1,0,"Bristol and Gloucester Line"
"477","BRI","Bristol Temple Meads",2268610,6603686,419384,9291680,40,1242101,"London Paddington",3231,"South West","Network Rail",1,0,"Bristol and South Wales Union Line"
"478","BRK","Berwick (Sussex)",14316,38582,18270,71168,1792,0,"Brighton",5323,"South East","Govia Thameslink Railway (Southern)",0,1,"Keymer Junction to Eastbourne Line"
"479","BRK","Berwick (Sussex)",14316,38582,18270,71168,1792,0,"Brighton",5323,"South East","Govia Thameslink Railway (Southern)",0,1,"East Coastway Line"
"480","BRL","Barrhill",1690,3334,0,5024,2397,0,"Glasgow Central",9467,"Scotland","ScotRail",0,1,"Stranraer Line"
"481","BRM","Barmouth",100876,39022,30460,170358,1345,0,"Harlech",4445,"Wales","TfW Rail",0,1,"Cambrian Line"
"482","BRN","Bearsden",103440,172922,31068,307430,999,0,"Glasgow Queen Street",9966,"Scotland","ScotRail",0,1,"Milngavie Branch"
"483","BRO","Bridge Of Orchy",3546,1844,0,5390,2392,0,"Corrour",8823,"Scotland","ScotRail",0,1,"West Highland Line"
"484","BRP","Brampton (Suffolk)",2808,5656,926,9390,2338,0,"Beccles",7259,"East of England","Greater Anglia",0,1,"East Suffolk Line"
"485","BRR","Barrhead",140358,211320,85602,437280,831,0,"Glasgow Central",9674,"Scotland","ScotRail",0,1,"Glasgow Barrhead and Kilmarnock Line"
"486","BRS","Berrylands",113414,144352,30450,288216,1040,0,"London Waterloo",5581,"London","South Western Railway",0,1,"South Western Main Line"
"487","BRU","Bruton",17766,27658,814,46238,1973,0,"Bath Spa",5702,"South West","Great Western Railway",0,1,"Reading to Taunton line"
"488","BRV","Bournville",213822,318930,169626,702378,604,0,"Birmingham New Street",1112,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Birmingham and Gloucester Line"
"489","BRV","Bournville",213822,318930,169626,702378,604,0,"Birmingham New Street",1112,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Cross-City Line"
"490","BRW","Brunswick",279646,288996,214056,782698,557,0,"Liverpool Central",3623,"North West","Merseyrail",0,1,"Merseyrail Northern Line"
"491","BRX","Brixton",236716,328280,139164,704160,602,0,"Bromley South",5081,"London","Southeastern",0,1,"Catford Loop"
"492","BRX","Brixton",236716,328280,139164,704160,602,0,"Bromley South",5081,"London","Southeastern",0,1,"Victoria Line"
"493","BRX","Brixton",236716,328280,139164,704160,602,0,"Bromley South",5081,"London","Southeastern",0,1,"Loughborough Junction and Canterbury Road Junction Line"
"494","BRX","Brixton",236716,328280,139164,704160,602,0,"Bromley South",5081,"London","Southeastern",0,1,"Chatham Main Line"
"495","BRX","Brixton",236716,328280,139164,704160,602,0,"Bromley South",5081,"London","Southeastern",0,1,"South London Line"
"496","BRY","Barry",336604,28412,87008,452024,826,3450,"Cardiff Central",3805,"Wales","TfW Rail",0,1,"Vale of Glamorgan Line"
"497","BRY","Barry",336604,28412,87008,452024,826,3450,"Cardiff Central",3805,"Wales","TfW Rail",0,1,"Barry Island Branch"
"498","BRY","Barry",336604,28412,87008,452024,826,3450,"Cardiff Central",3805,"Wales","TfW Rail",0,1,"Barry Line"
"499","BSB","Bleasby",4550,716,18,5284,2393,0,"Nottingham",6204,"East Midlands","East Midlands Railway",0,1,"Nottingham to Lincoln Line"
"500","BSC","Bescot Stadium",39594,64042,30558,134194,1477,0,"Birmingham New Street",1003,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Walsall Line"
"501","BSC","Bescot Stadium",39594,64042,30558,134194,1477,0,"Birmingham New Street",1003,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Proof House Junction and Bushbury Junction Line"
"502","BSD","Bearsted",58250,118112,85388,261750,1098,0,"London Victoria",5091,"South East","Southeastern",0,1,"Kent Downs Line"
"503","BSE","Bury St Edmunds",235218,390422,72642,698282,609,911,"Cambridge",7008,"East of England","Greater Anglia",1,0,"Ipswich to Ely Line"
"504","BSH","Bushey",397220,543664,59964,1000848,452,0,"London Euston",1395,"East of England","London Overground",0,1,"West Coast Main Line"
"505","BSH","Bushey",397220,543664,59964,1000848,452,0,"London Euston",1395,"East of England","London Overground",0,1,"Camden to Watford Junction Line"
"506","BSI","Balmossie",570,96,168,834,2521,0,"Dundee",9013,"Scotland","ScotRail",0,1,"Edinburgh to Aberdeen Line"
"507","BSJ","Bedford St Johns",21092,93906,26588,141586,1451,0,"Stewartby",1510,"East of England","West Midlands Trains (London Northwestern Railway)",0,1,"Hitchin and Bedford Line"
"508","BSJ","Bedford St Johns",21092,93906,26588,141586,1451,0,"Stewartby",1510,"East of England","West Midlands Trains (London Northwestern Railway)",0,1,"Marston Vale Line"
"509","BSJ","Bedford St Johns",21092,93906,26588,141586,1451,0,"Stewartby",1510,"East of England","West Midlands Trains (London Northwestern Railway)",0,1,"Bletchley to Bedford Midland Branch"
"510","BSK","Basingstoke",953180,2411440,639446,4004066,110,1076621,"London Waterloo",5520,"South East","South Western Railway",1,0,"Basingstoke Branch"
"511","BSK","Basingstoke",953180,2411440,639446,4004066,110,1076621,"London Waterloo",5520,"South East","South Western Railway",1,0,"South Western Main Line"
"512","BSL","Beasdale",90,80,0,170,2565,0,"Fort William",8822,"Scotland","ScotRail",0,1,"West Highland Line"
"513","BSM","Branksome",51658,138034,12772,202464,1245,0,"London Waterloo",5875,"South West","South Western Railway",0,1,"South Western Main Line"
"514","BSN","Boston",63234,129756,7102,200092,1251,1,"Nottingham",6216,"East Midlands","East Midlands Railway",0,1,"Grantham to Skegness Line"
"515","BSO","Basildon",1012610,761742,619808,2394160,196,0,"London Fenchurch Street",7494,"East of England","c2c",1,0,"London, Tilbury & Southend Railway"
"516","BSP","Brondesbury Park",319928,436002,137646,893576,506,0,"West Hampstead",1438,"London","London Overground",0,1,"North London Line"
"517","BSR","Broadstairs",94950,442736,93722,631408,649,0,"London St Pancras International",5006,"South East","Southeastern",0,1,"Chatham Main Line"
"518","BSS","Barassie",36286,65094,10738,112118,1565,0,"Glasgow Central",9466,"Scotland","ScotRail",0,1,"Barassie and Kilmarnock Line"
"519","BSS","Barassie",36286,65094,10738,112118,1565,0,"Glasgow Central",9466,"Scotland","ScotRail",0,1,"Ayrshire Coast Line"
"520","BSU","Brunstane",62194,45172,2578,109944,1577,0,"Edinburgh",8807,"Scotland","ScotRail",0,1,"East Coast Main Line"
"521","BSU","Brunstane",62194,45172,2578,109944,1577,0,"Edinburgh",8807,"Scotland","ScotRail",0,1,"Borders Railway"
"522","BSV","Buckshaw Parkway",103990,186848,49418,340256,944,0,"Manchester Piccadilly",7501,"North West","Northern Trains",0,1,"Manchester to Preston Line"
"523","BSW","Birmingham Snow Hill",727288,1078192,912838,2718318,166,175501,"Stourbridge Junction",1006,"West Midlands","West Midlands Trains (West Midlands Railway)",1,0,"Rugby Birmingham and Stafford Line"
"524","BSY","Brondesbury",597922,1079880,500916,2178718,219,0,"Shepherd's Bush",1437,"London","London Overground",1,0,"Metropolitan Line"
"525","BSY","Brondesbury",597922,1079880,500916,2178718,219,0,"Shepherd's Bush",1437,"London","London Overground",1,0,"Midland Main Line"
"526","BSY","Brondesbury",597922,1079880,500916,2178718,219,0,"Shepherd's Bush",1437,"London","London Overground",1,0,"Chiltern Main Line"
"527","BSY","Brondesbury",597922,1079880,500916,2178718,219,0,"Shepherd's Bush",1437,"London","London Overground",1,0,"Jubilee Line"
"528","BSY","Brondesbury",597922,1079880,500916,2178718,219,0,"Shepherd's Bush",1437,"London","London Overground",1,0,"North London line"
"529","BSY","Brondesbury",597922,1079880,500916,2178718,219,0,"Shepherd's Bush",1437,"London","London Overground",1,0,"Up Hendon"
"530","BSY","Brondesbury",597922,1079880,500916,2178718,219,0,"Shepherd's Bush",1437,"London","London Overground",1,0,"North London Line"
"531","BTB","Barnetby",4916,34762,2784,42462,2000,3862,"Lincoln",6406,"Yorkshire and The Humber","TransPennine Express",0,1,"Sheffield to Lincoln Line"
"532","BTD","Bolton-Upon-Dearne",28700,19938,14798,63436,1847,0,"Sheffield",8536,"Yorkshire and The Humber","Northern Trains",0,1,"Swinton and Milford Junction Line"
"533","BTE","Bitterne",21006,35198,9094,65298,1830,0,"Fareham",5945,"South East","South Western Railway",0,1,"West Coastway Line"
"534","BTF","Bottesford",25128,17350,6030,48508,1954,0,"Nottingham",6237,"East Midlands","East Midlands Railway",0,1,"Nottingham to Grantham Line"
"535","BTG","Barnt Green",86114,69626,90756,246496,1129,48878,"Birmingham New Street",1096,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Cross-City Line"
"536","BTG","Barnt Green",86114,69626,90756,246496,1129,48878,"Birmingham New Street",1096,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Birmingham and Gloucester Line"
"537","BTH","Bath Spa",937716,4260936,269814,5468466,73,173415,"London Paddington",3271,"South West","Great Western Railway",1,0,"Great Western Main Line"
"538","BTL","Batley",118146,103610,43132,264888,1089,0,"Leeds",8484,"Yorkshire and The Humber","Northern Trains",0,1,"Huddersfield Line"
"539","BTN","Brighton",2580238,9925494,1547158,14052890,25,893229,"London Victoria",5268,"South East","Govia Thameslink Railway (Southern)",1,0,"West Coastway"
"540","BTN","Brighton",2580238,9925494,1547158,14052890,25,893229,"London Victoria",5268,"South East","Govia Thameslink Railway (Southern)",1,0,"East Coastway Line"
"541","BTN","Brighton",2580238,9925494,1547158,14052890,25,893229,"London Victoria",5268,"South East","Govia Thameslink Railway (Southern)",1,0,"West Coastway Line"
"542","BTN","Brighton",2580238,9925494,1547158,14052890,25,893229,"London Victoria",5268,"South East","Govia Thameslink Railway (Southern)",1,0,"Brighton Main Line"
"543","BTN","Brighton",2580238,9925494,1547158,14052890,25,893229,"London Victoria",5268,"South East","Govia Thameslink Railway (Southern)",1,0,"Brighton to Lewes Line"
"544","BTO","Betchworth",3880,6040,2448,12368,2295,0,"Guildford",5472,"South East","Great Western Railway",0,1,"North Downs Line"
"545","BTP","Braintree Freeport",31828,58314,19164,109306,1580,0,"London Liverpool Street",2053,"East of England","Greater Anglia",0,1,"Braintree Branch Line"
"546","BTR","Braintree",115572,228136,181074,524782,748,0,"London Liverpool Street",6801,"East of England","Greater Anglia",0,1,"Braintree Branch Line"
"547","BTS","Burntisland",53250,85592,11820,150662,1415,0,"Edinburgh",9107,"Scotland","ScotRail",0,1,"Fife Circle Line"
"548","BTT","Battersby",268,1676,220,2164,2465,0,"Whitby",7909,"Yorkshire and The Humber","Northern Trains",0,1,"Esk Valley Line"
"549","BTY","Bentley (Hampshire)",34062,30634,17790,82486,1722,0,"London Waterloo",5624,"South East","South Western Railway",0,1,"Alton Line"
"550","BTY","Bentley (Hampshire)",34062,30634,17790,82486,1722,0,"London Waterloo",5624,"South East","South Western Railway",0,1,"Pirbright and Alton Line"
"551","BUB","Burnley Barracks",8218,15248,2438,25904,2147,0,"Preston (Lancs)",2743,"North West","Northern Trains",0,1,"East Lancashire Line"
