"","TLC","Station_Name","Entries.and.exits...Full.price.tickets","Entries.and.exits...Reduced.price.tickets","Entries.and.exits...Season.tickets","Tickets_Sold","Rank_Tickets","Interchanges","Main_OD","NLC","Region","Station_Owner","TRUE.","FALSE.","Route_Name"
"42","ADR","Airdrie",196716,341584,94498,632798,647,0,"Glasgow Queen Street",9759,"Scotland","ScotRail",0,1,"Edinburgh to Glasgow via Bathgate"
"43","ADS","Ardrossan Harbour",50726,41358,338,92422,1674,0,"Glasgow Central",9453,"Scotland","ScotRail",0,1,"Ardrossan Harbour Branch"
"44","ADV","Andover",171606,595142,154978,921726,487,16134,"London Waterloo",5510,"South East","South Western Railway",0,1,"Basingstoke and Exeter Line"
"45","ADW","Addiewell",6648,6894,1024,14566,2267,0,"Edinburgh",9310,"Scotland","ScotRail",0,1,"Edinburgh to Glasgow via Shotts"
"46","AFK","Ashford International",643488,1711392,892088,3246968,141,836593,"London St Pancras International",5004,"South East","Southeastern",1,0,"South Eastern Main Line"
"47","AFK","Ashford International",643488,1711392,892088,3246968,141,836593,"London St Pancras International",5004,"South East","Southeastern",1,0,"Ashford to Ramsgate Line"
"48","AFK","Ashford International",643488,1711392,892088,3246968,141,836593,"London St Pancras International",5004,"South East","Southeastern",1,0,"Kent Downs Line"
"49","AFK","Ashford International",643488,1711392,892088,3246968,141,836593,"London St Pancras International",5004,"South East","Southeastern",1,0,"High Speed 1"
"50","AFK","Ashford International",643488,1711392,892088,3246968,141,836593,"London St Pancras International",5004,"South East","Southeastern",1,0,"Ashford Chord"
"51","AFK","Ashford International",643488,1711392,892088,3246968,141,836593,"London St Pancras International",5004,"South East","Southeastern",1,0,"Marshlink Line"
"52","AFS","Ashford (Surrey)",265398,270338,189232,724968,592,0,"London Waterloo",5667,"South East","South Western Railway",0,1,"Waterloo to Reading Line"
"53","AFV","Ansdell and Fairhaven",8194,28756,4032,40982,2013,0,"Preston (Lancs)",2662,"North West","Northern Trains",0,1,"South Fylde Community Railway Line"
"54","AGL","Abergele and Pensarn",41230,36848,3904,81982,1726,0,"Chester",2448,"Wales","TfW Rail",0,1,"North Wales Coast Line"
"55","AGS","Argyle Street",186068,543014,80832,809914,542,0,"Rutherglen",9961,"Scotland","ScotRail",1,0,"Edinburgh and Glasgow Main Line"
"56","AGS","Argyle Street",186068,543014,80832,809914,542,0,"Rutherglen",9961,"Scotland","ScotRail",1,0,"Argyle Line"
"57","AGS","Argyle Street",186068,543014,80832,809914,542,0,"Rutherglen",9961,"Scotland","ScotRail",1,0,"North Clyde Line"
"58","AGS","Argyle Street",186068,543014,80832,809914,542,0,"Rutherglen",9961,"Scotland","ScotRail",1,0,"West Coast Main Line"
"59","AGS","Argyle Street",186068,543014,80832,809914,542,0,"Rutherglen",9961,"Scotland","ScotRail",1,0,"High Street Junction to Shields Junction Chord"
"60","AGS","Argyle Street",186068,543014,80832,809914,542,0,"Rutherglen",9961,"Scotland","ScotRail",1,0,"Glasgow Subway"
"61","AGT","Aldrington",44632,63252,19926,127810,1497,0,"Brighton",5280,"South East","Govia Thameslink Railway (Southern)",0,1,"West Coastway Line"
"62","AGT","Aldrington",44632,63252,19926,127810,1497,0,"Brighton",5280,"South East","Govia Thameslink Railway (Southern)",0,1,"West Coastway"
"63","AGV","Abergavenny",169398,129348,60778,359524,920,0,"Hereford",3602,"Wales","TfW Rail",0,1,"Welsh Marches Line"
"64","AHD","Ashtead",291202,375864,180318,847384,524,0,"London Waterloo",5347,"South East","Govia Thameslink Railway (Southern)",1,0,"Sutton and Mole Valley Line"
"65","AHN","Ashton-Under-Lyne",65130,51320,25728,142178,1446,0,"Manchester Victoria",2790,"North West","Northern Trains",0,1,"Manchester Victoria and Huddersfield Line"
