Station name,Ticket Barrier,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,"Three Letter Code
(TLC)",Region,Station facility owner,,,,,,,,,
Stanlow and Thornton,,0,0,0,0,0,0,0,SNT,North West,Northern Trains,,,,,,,,,
Bishops Lydeard,,0,0,0,0,0,0,0,BIB,South West,West Somerset Railway,,,,,,,,,
Corfe Castle,,0,0,0,0,0,0,0,CFC,South West,Swanage Railway,,,,,,,,,
London Liverpool Street,Yes,"28,442,452","40,814,678","11,191,064","80,448,194",1,"5,663,454",Tottenham Court Road,LST,London,Network Rail,,,,,,,,,
London Paddington,Yes,"15,649,984","37,973,390","5,559,552","59,182,926",2,"3,708,113",Tottenham Court Road,PAD,London,Network Rail,,,,,,,,,
London Waterloo,Yes,"19,253,404","29,675,988","8,860,388","57,789,780",3,"4,664,322",Clapham Junction,WAT,London,Network Rail,,,,,,,,,
London Bridge,Yes,"14,965,530","24,000,950","8,690,784","47,657,264",4,"14,058,086",East Croydon,LBG,London,Network Rail,,,,,,,,,
London Victoria,Yes,"13,813,592","24,654,026","7,096,354","45,563,972",5,"3,267,934",Gatwick Airport,VIC,London,Network Rail,,,,,,,,,
Stratford (London),Yes,"13,230,372","24,217,934","6,688,478","44,136,784",6,"5,523,622",London Liverpool Street,SRA,London,Elizabeth line,,,,,,,,,
Tottenham Court Road,Yes,"9,387,002","21,242,642","4,248,124","34,877,768",7,0,London Liverpool Street,TCR,London,London Underground,,,,,,,,,
London St Pancras International,Yes,"7,076,286","21,297,758","4,922,076","33,296,120",8,"5,673,269",St Albans City,STP,London,Network Rail,,,,,,,,,
Farringdon,Yes,"12,023,796","15,911,166","3,524,942","31,459,904",9,"640,172",London Liverpool Street,ZFD,London,London Underground,,,,,,,,,
London Euston,Yes,"3,176,058","26,106,360","2,035,990","31,318,408",10,"2,124,018",Manchester Piccadilly,EUS,London,Network Rail,,,,,,,,,
Birmingham New Street,Yes,"8,122,474","16,961,660","5,642,146","30,726,280",11,"4,328,228",London Euston,BHM,West Midlands,Network Rail,,,,,,,,,
Leeds,Yes,"5,848,344","15,710,712","2,405,100","23,964,156",12,"2,488,509",London Kings Cross,LDS,Yorkshire and The Humber,Network Rail,,,,,,,,,
Manchester Piccadilly,Yes,"4,832,196","16,794,362","1,931,806","23,558,364",13,"2,046,226",London Euston,MAN,North West,Network Rail,,,,,,,,,
Whitechapel,Yes,"6,824,148","13,151,620","3,331,442","23,307,210",14,579,London Liverpool Street,ZLW,London,London Underground,,,,,,,,,
London Kings Cross,Yes,"589,830","21,621,950","1,075,634","23,287,414",15,"1,694,039",Cambridge,KGX,London,Network Rail,,,,,,,,,
Clapham Junction,Yes,"6,535,950","10,262,910","3,991,290","20,790,150",16,"19,090,976",London Waterloo,CLJ,London,Network Rail,,,,,,,,,
Glasgow Central,Yes,"5,557,214","12,946,504","2,264,236","20,767,954",17,"2,217,140",Paisley Gilmour Street,GLC,Scotland,Network Rail,,,,,,,,,
Highbury and Islington,Yes,"6,030,530","11,874,372","2,696,194","20,601,096",18,"6,839,511",Stratford (London),HHY,London,London Underground,,,,,,,,,
Bond Street,Yes,"5,507,506","11,466,274","2,426,636","19,400,416",19,0,Tottenham Court Road,BDS,London,London Underground,,,,,,,,,
East Croydon,Yes,"5,880,990","9,413,458","3,220,010","18,514,458",20,"3,932,747",London Victoria,ECR,London,Govia Thameslink Railway (Southern),,,,,,,,,
Edinburgh,Yes,"3,720,284","13,883,536","608,808","18,212,628",21,"1,237,283",Glasgow Queen Street,EDB,Scotland,Network Rail,,,,,,,,,
Gatwick Airport,Yes,"7,747,846","8,418,468","341,666","16,507,980",22,"852,806",London Victoria,GTW,South East,Govia Thameslink Railway (Gatwick Express),,,,,,,,,
Canada Water,Yes,"4,676,574","9,054,286","2,495,230","16,226,090",23,914,Surrey Quays,ZCW,London,London Underground,,,,,,,,,
London Charing Cross,Yes,"4,738,244","9,019,646","2,433,306","16,191,196",24,"418,776",Lewisham,CHX,London,Network Rail,,,,,,,,,
Brighton,Yes,"2,580,238","9,925,494","1,547,158","14,052,890",25,"893,229",London Victoria,BTN,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Vauxhall,Yes,"4,312,218","5,976,372","2,723,744","13,012,334",26,0,Wimbledon,VXH,London,South Western Railway,,,,,,,,,
London Blackfriars,Yes,"4,220,946","6,882,672","1,801,374","12,904,992",27,"7,722,022",Brighton,BFR,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Barking,Yes,"3,850,930","6,213,612","2,665,670","12,730,212",28,"746,152",West Ham,BKG,London,c2c,,,,,,,,,
Reading,Yes,"2,911,936","8,045,008","1,444,044","12,400,988",29,"3,730,402",London Paddington,RDG,South East,Network Rail,,,,,,,,,
Glasgow Queen Street,Yes,"3,072,938","8,373,698","837,100","12,283,736",30,"1,285,677",Edinburgh,GLQ,Scotland,ScotRail,,,,,,,,,
Wimbledon,Yes,"3,729,400","5,872,068","2,092,408","11,693,876",31,"1,153,942",London Waterloo,WIM,London,South Western Railway,,,,,,,,,
Romford,Yes,"3,872,186","6,432,522","1,298,370","11,603,078",32,"578,763",Stratford (London),RMF,London,Elizabeth line,,,,,,,,,
Liverpool Central,Yes,"3,352,230","6,520,224","1,529,526","11,401,980",33,"536,662",Kirkby (Merseyside),LVC,North West,Merseyrail,,,,,,,,,
Liverpool Lime Street,Yes,"3,264,014","6,348,640","1,489,276","11,101,930",34,"861,556",London Euston,LIV,North West,Network Rail,,,,,,,,,
London Marylebone,Yes,"2,815,434","6,238,110","1,254,248","10,307,792",35,"742,400",High Wycombe,MYB,London,Chiltern Railways,,,,,,,,,
London Fenchurch Street,Yes,"4,924,236","3,413,316","1,870,082","10,207,634",36,"1,130,771",Upminster,FST,London,c2c,,,,,,,,,
Cardiff Central,Yes,"5,429,162","3,814,512","941,348","10,185,022",37,"1,132,335",Newport (South Wales),CDF,Wales,TfW Rail,,,,,,,,,
Canary Wharf,Yes,"3,220,892","5,461,406","1,242,308","9,924,606",38,0,Tottenham Court Road,CWX,London,Elizabeth line,,,,,,,,,
Cambridge,Yes,"2,331,900","5,809,382","1,200,318","9,341,600",39,"481,342",London Kings Cross,CBG,East of England,Greater Anglia,,,,,,,,,
Bristol Temple Meads,Yes,"2,268,610","6,603,686","419,384","9,291,680",40,"1,242,101",London Paddington,BRI,South West,Network Rail,,,,,,,,,
West Ham,Yes,"3,025,674","4,462,908","1,563,072","9,051,654",41,"5,268",Barking,WEH,London,London Underground,,,,,,,,,
York,No,"283,094","8,154,150","425,734","8,862,978",42,"930,496",London Kings Cross,YRK,Yorkshire and The Humber,London North Eastern Railway,,,,,,,,,
Ilford,Yes,"2,620,714","4,792,410","1,337,438","8,750,562",43,80,Stratford (London),IFD,London,Elizabeth line,,,,,,,,,
Sheffield,No,"1,522,644","6,683,552","470,816","8,677,012",44,"766,390",Manchester Piccadilly,SHF,Yorkshire and The Humber,East Midlands Railway,,,,,,,,,
Finsbury Park,Yes,"3,037,342","4,481,598","1,040,092","8,559,032",45,"3,360,327",Moorgate,FPK,London,Govia Thameslink Railway (Great Northern),,,,,,,,,
Newcastle,Yes,"627,086","7,474,300","301,536","8,402,922",46,"306,624",London Kings Cross,NCL,North East,London North Eastern Railway,,,,,,,,,
Woolwich,Yes,"2,523,340","4,346,348","1,469,888","8,339,576",47,0,Tottenham Court Road,WWC,London,Elizabeth line,,,,,,,,,
Ealing Broadway,Yes,"2,331,306","4,589,210","1,316,840","8,237,356",48,"74,728",London Paddington,EAL,London,Elizabeth line,,,,,,,,,
Richmond (London),Yes,"2,499,366","4,356,358","1,068,902","7,924,626",49,"1,029,867",London Waterloo,RMD,London,South Western Railway,,,,,,,,,
Stansted Airport,No,"5,177,772","2,707,914","20,788","7,906,474",50,"2,583",London Liverpool Street,SSD,East of England,Greater Anglia,,,,,,,,,
Tottenham Hale,Yes,"2,909,790","3,788,882","864,978","7,563,650",51,"502,460",Stansted Airport,TOM,London,Greater Anglia,,,,,,,,,
Abbey Wood,Yes,"2,318,430","3,470,332","1,329,902","7,118,664",52,0,Tottenham Court Road,ABW,London,Elizabeth line,,,,,,,,,
Shoreditch High Street,Yes,"1,843,010","4,610,400","600,978","7,054,388",53,"405,919",Whitechapel,SDC,London,London Overground,,,,,,,,,
Manchester Victoria,Yes,"1,436,334","4,991,996","574,214","7,002,544",54,"865,986",Leeds,MCV,North West,Northern Trains,,,,,,,,,
Nottingham,Yes,"1,390,732","5,067,020","281,806","6,739,558",55,"404,203",London St Pancras International,NOT,East Midlands,East Midlands Railway,,,,,,,,,
London Cannon Street,Yes,"3,194,148","1,953,826","1,575,242","6,723,216",56,"374,906",New Cross,CST,London,Network Rail,,,,,,,,,
Surbiton,Yes,"2,247,516","3,409,680","952,822","6,610,018",57,"434,021",London Waterloo,SUR,London,South Western Railway,,,,,,,,,
Oxford,Yes,"708,372","5,320,080","553,154","6,581,606",58,"514,180",London Paddington,OXF,South East,Great Western Railway,,,,,,,,,
City Thameslink,Yes,"3,174,524","2,339,446","925,444","6,439,414",59,"1,984",St Albans City,CTK,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Willesden Junction,Yes,"1,975,832","3,379,508","1,012,418","6,367,758",60,"1,972,936",Wembley Central,WIJ,London,London Overground,,,,,,,,,
Seven Sisters,Yes,"1,936,466","3,308,728","868,300","6,113,494",61,"2,009",Edmonton Green,SVS,London,London Overground,,,,,,,,,
Coventry,Yes,"1,494,346","3,645,114","837,198","5,976,658",62,"344,911",Birmingham New Street,COV,West Midlands,Avanti West Coast,,,,,,,,,
Lewisham,Yes,"1,744,410","2,657,292","1,516,794","5,918,496",63,"2,154,284",London Bridge,LEW,London,Southeastern,,,,,,,,,
Chelmsford,Yes,"2,229,958","2,065,034","1,489,592","5,784,584",64,"43,397",London Liverpool Street,CHM,East of England,Greater Anglia,,,,,,,,,
Shepherd's Bush,Yes,"1,713,046","2,871,644","1,120,508","5,705,198",65,"15,841",Clapham Junction,SPB,London,London Overground,,,,,,,,,
Moorgate,Yes,"2,026,610","2,909,302","651,804","5,587,716",66,"672,934",Old Street,MOG,London,London Underground,,,,,,,,,
St Albans City,Yes,"2,022,094","2,933,882","616,176","5,572,152",67,"121,850",London St Pancras International,SAC,East of England,Govia Thameslink Railway (Thameslink),,,,,,,,,
Denmark Hill,Yes,"2,058,794","2,386,948","1,108,578","5,554,320",68,"482,855",London Victoria,DMK,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Bromley South,Yes,"1,751,032","2,892,144","900,120","5,543,296",69,"764,420",London Victoria,BMS,London,Southeastern,,,,,,,,,
Watford Junction,Yes,"1,499,978","3,462,674","573,444","5,536,096",70,"281,507",London Euston,WFJ,East of England,West Midlands Trains (London Northwestern Railway),,,,,,,,,
Birmingham Moor Street,Yes,"1,635,602","2,527,772","1,362,402","5,525,776",71,"335,256",Solihull,BMO,West Midlands,Chiltern Railways,,,,,,,,,
Southampton Central,Yes,"1,060,578","4,061,900","373,194","5,495,672",72,"1,207,893",London Waterloo,SOU,South East,South Western Railway,,,,,,,,,
Bath Spa,Yes,"937,716","4,260,936","269,814","5,468,466",73,"173,415",London Paddington,BTH,South West,Great Western Railway,,,,,,,,,
Hayes and Harlington,Yes,"1,602,650","3,035,382","808,366","5,446,398",74,"119,677",London Paddington,HAY,London,Elizabeth line,,,,,,,,,
Old Street,Yes,"2,091,660","2,894,364","451,148","5,437,172",75,0,Highbury and Islington,OLD,London,London Underground,,,,,,,,,
London Waterloo East,Yes,"1,650,500","2,808,390","970,994","5,429,884",76,"640,797",London Bridge,WAE,London,Southeastern,,,,,,,,,
Peckham Rye,Yes,"1,679,006","2,848,900","884,472","5,412,378",77,"3,039,337",Canada Water,PMR,London,Govia Thameslink Railway (Southern),,,,,,,,,
Woking,Yes,"2,100,250","2,408,232","813,964","5,322,446",78,"944,832",London Waterloo,WOK,South East,South Western Railway,,,,,,,,,
Guildford,Yes,"1,782,862","2,767,468","734,384","5,284,714",79,"681,231",London Waterloo,GLD,South East,Network Rail,,,,,,,,,
Custom House,Yes,"1,540,304","2,915,130","817,064","5,272,498",80,0,Tottenham Court Road,CUS,London,Elizabeth line,,,,,,,,,
Putney,Yes,"1,689,486","2,332,224","1,096,518","5,118,228",81,0,London Waterloo,PUT,London,South Western Railway,,,,,,,,,
Shenfield,Yes,"2,125,910","2,324,570","655,032","5,105,512",82,"1,056,897",London Liverpool Street,SNF,East of England,Greater Anglia,,,,,,,,,
Moorfields,Yes,"1,499,682","2,916,942","684,262","5,100,886",83,"531,546",Kirkby (Merseyside),MRF,North West,Merseyrail,,,,,,,,,
Dalston Junction,Yes,"1,348,922","3,142,966","540,582","5,032,470",84,0,Highbury and Islington,DLJ,London,London Overground,,,,,,,,,
Forest Gate,Yes,"1,477,820","2,607,378","798,374","4,883,572",85,0,Stratford (London),FOG,London,Elizabeth line,,,,,,,,,
Leicester,Yes,"870,426","3,658,734","340,676","4,869,836",86,"422,690",London St Pancras International,LEI,East Midlands,East Midlands Railway,,,,,,,,,
Earlsfield,Yes,"1,670,348","2,145,302","918,582","4,734,232",87,0,London Waterloo,EAD,London,South Western Railway,,,,,,,,,
Manchester Oxford Road,Yes,"955,418","3,320,564","381,954","4,657,936",88,"815,640",Liverpool Lime Street,MCO,North West,Northern Trains,,,,,,,,,
Dalston Kingsland,Yes,"1,167,496","2,681,172","715,546","4,564,214",89,0,Highbury and Islington,DLK,London,London Overground,,,,,,,,,
Slough,Yes,"1,319,810","2,551,520","656,302","4,527,632",90,"1,322,225",London Paddington,SLO,South East,Great Western Railway,,,,,,,,,
Peterborough,Yes,"408,664","3,782,632","327,720","4,519,016",91,"773,281",London Kings Cross,PBO,East of England,London North Eastern Railway,,,,,,,,,
Milton Keynes Central,Yes,"713,090","3,318,560","477,934","4,509,584",92,"189,748",London Euston,MKC,South East,West Midlands Trains (London Northwestern Railway),,,,,,,,,
Chadwell Heath,Yes,"1,575,180","2,388,878","536,040","4,500,098",93,0,Stratford (London),CTH,London,Elizabeth line,,,,,,,,,
Wolverhampton,Yes,"1,124,554","2,666,212","655,098","4,445,864",94,"222,035",Birmingham New Street,WVH,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Southall,Yes,"1,217,474","2,528,248","682,476","4,428,198",95,0,London Paddington,STL,London,Elizabeth line,,,,,,,,,
Upminster,Yes,"1,688,162","2,220,578","497,628","4,406,368",96,"764,941",London Fenchurch Street,UPM,London,c2c,,,,,,,,,
Heathrow Terminals 2 and 3 (Rail Station Only),Yes,"2,563,718","1,716,878","112,116","4,392,712",97,0,London Paddington,HXX,London,Heathrow Express,,,,,,,,,
Surrey Quays,Yes,"1,202,320","2,456,290","690,004","4,348,614",98,"516,748",Canada Water,SQE,London,London Overground,,,,,,,,,
Sutton (London),Yes,"1,452,550","1,989,394","898,318","4,340,262",99,"359,251",London Victoria,SUO,London,Govia Thameslink Railway (Southern),,,,,,,,,
Preston (Lancs),,"435,352","3,568,028","233,156","4,236,536",100,"1,083,436",London Euston,PRE,North West,Avanti West Coast,,,,,,,,,
Hackney Central,,"1,183,688","2,457,334","565,038","4,206,060",101,"1,466,758",Highbury and Islington,HKC,London,London Overground,,,,,,,,,
Birmingham International,,"1,244,620","2,501,644","438,826","4,185,090",102,"258,069",Birmingham New Street,BHI,West Midlands,Avanti West Coast,,,,,,,,,
Balham,,"1,371,102","1,830,622","974,214","4,175,938",103,"183,785",Clapham Junction,BAL,London,Govia Thameslink Railway (Southern),,,,,,,,,
Goodmayes,,"1,335,820","2,099,488","696,116","4,131,424",104,0,Stratford (London),GMY,London,Elizabeth line,,,,,,,,,
Chester,,"1,300,792","2,650,564","170,236","4,121,592",105,"688,851",Liverpool Lime Street,CTR,North West,TfW Rail,,,,,,,,,
New Cross Gate,,"1,043,432","2,363,030","654,440","4,060,902",106,"1,351,428",Canada Water,NXG,London,London Overground,,,,,,,,,
Stevenage,,"1,409,124","2,246,782","394,422","4,050,328",107,"1,957,268",London Kings Cross,SVG,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Orpington,,"1,354,162","1,970,482","705,758","4,030,402",108,"578,762",London Bridge,ORP,London,Southeastern,,,,,,,,,
Twickenham,,"1,328,622","2,218,304","472,198","4,019,124",109,"343,576",London Waterloo,TWI,London,South Western Railway,,,,,,,,,
Basingstoke,,"953,180","2,411,440","639,446","4,004,066",110,"1,076,621",London Waterloo,BSK,South East,South Western Railway,,,,,,,,,
Dartford,,"1,375,332","2,105,100","510,642","3,991,074",111,"403,801",London Bridge,DFD,South East,Southeastern,,,,,,,,,
Norwich,,"565,648","3,173,234","225,066","3,963,948",112,"437,360",London Liverpool Street,NRW,East of England,Greater Anglia,,,,,,,,,
Manchester Airport,,"679,898","3,121,056","115,978","3,916,932",113,"16,945",Manchester Piccadilly,MIA,North West,TransPennine Express,,,,,,,,,
Homerton,,"1,240,422","2,089,072","533,126","3,862,620",114,0,Highbury and Islington,HMN,London,London Overground,,,,,,,,,
Queens Park (London),,"1,088,876","2,340,486","424,332","3,853,694",115,0,Wembley Central,QPW,London,London Underground,,,,,,,,,
Norwood Junction,,"1,227,506","1,938,616","640,358","3,806,480",116,"1,158,598",London Bridge,NWD,London,London Overground,,,,,,,,,
Seven Kings,,"1,281,120","1,999,448","501,206","3,781,774",117,0,Stratford (London),SVK,London,Elizabeth line,,,,,,,,,
Luton Airport Parkway,,"1,697,288","1,946,978","123,524","3,767,790",118,"5,783",London St Pancras International,LTN,East of England,Govia Thameslink Railway (Thameslink),,,,,,,,,
Forest Hill,,"1,218,380","2,062,116","476,786","3,757,282",119,0,Canada Water,FOH,London,London Overground,,,,,,,,,
Camden Road,,"1,172,670","1,959,568","592,436","3,724,674",120,"11,725",Stratford (London),CMD,London,London Overground,,,,,,,,,
Winchester,,"716,448","2,270,022","737,274","3,723,744",121,"81,031",London Waterloo,WIN,South East,South Western Railway,,,,,,,,,
Manor Park,,"1,080,976","1,943,014","695,694","3,719,684",122,0,Stratford (London),MNP,London,Elizabeth line,,,,,,,,,
Shadwell,,"1,036,636","2,201,342","468,196","3,706,174",123,0,Canada Water,SDE,London,London Overground,,,,,,,,,
West Croydon,,"1,126,816","1,837,970","727,100","3,691,886",124,"256,877",Canada Water,WCY,London,London Overground,,,,,,,,,
Kingston,,"1,188,024","2,031,808","424,078","3,643,910",125,0,London Waterloo,KNG,London,South Western Railway,,,,,,,,,
Doncaster,,"486,954","2,890,278","257,290","3,634,522",126,"987,406",London Kings Cross,DON,Yorkshire and The Humber,London North Eastern Railway,,,,,,,,,
West Brompton,,"1,084,230","1,800,302","626,038","3,510,570",127,0,Shepherd's Bush,WBP,London,London Underground,,,,,,,,,
Tonbridge,,"795,088","1,452,098","1,255,750","3,502,936",128,"321,741",London Charing Cross,TON,South East,Southeastern,,,,,,,,,
Walthamstow Central,,"1,108,392","1,873,096","428,220","3,409,708",129,0,Highams Park,WHC,London,London Overground,,,,,,,,,
Haywards Heath,,"762,028","1,804,112","828,700","3,394,840",130,"325,318",London Victoria,HHE,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Colchester,,"605,816","1,837,228","949,698","3,392,742",131,"450,695",London Liverpool Street,COL,East of England,Greater Anglia,,,,,,,,,
Derby,,"701,488","2,523,128","152,688","3,377,304",132,"403,208",Birmingham New Street,DBY,East Midlands,East Midlands Railway,,,,,,,,,
Wembley Central,,"729,578","2,075,610","534,962","3,340,150",133,"50,670",Queens Park (London),WMB,London,London Underground,,,,,,,,,
Southport,,"445,586","2,446,116","447,880","3,339,582",134,"16,208",Birkdale,SOP,North West,Merseyrail,,,,,,,,,
Wandsworth Town,,"1,221,664","1,460,754","656,852","3,339,270",135,0,London Waterloo,WNT,London,South Western Railway,,,,,,,,,
Brockley,,"1,037,520","1,903,728","389,662","3,330,910",136,0,Canada Water,BCY,London,London Overground,,,,,,,,,
West Hampstead,,"1,002,410","1,673,702","621,216","3,297,328",137,"827,541",Hampstead Heath,WHD,London,London Overground,,,,,,,,,
Luton,,"587,300","2,320,676","374,156","3,282,132",138,"51,288",London St Pancras International,LUT,East of England,Govia Thameslink Railway (Thameslink),,,,,,,,,
Harold Wood,,"1,262,700","1,655,904","350,450","3,269,054",139,0,Stratford (London),HRO,London,Elizabeth line,,,,,,,,,
Hoxton,,"961,448","1,960,882","331,432","3,253,762",140,0,Whitechapel,HOX,London,London Overground,,,,,,,,,
Ashford International,,"643,488","1,711,392","892,088","3,246,968",141,"836,593",London St Pancras International,AFK,South East,Southeastern,,,,,,,,,
Maidenhead,,"1,014,424","1,635,694","589,756","3,239,874",142,"421,152",London Paddington,MAI,South East,Great Western Railway,,,,,,,,,
Eastbourne,,"385,208","1,871,962","944,358","3,201,528",143,"39,871",London Victoria,EBN,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Haggerston,,"1,030,836","1,840,768","285,330","3,156,934",144,0,Highbury and Islington,HGG,London,London Overground,,,,,,,,,
Stockport,,"693,942","2,196,242","252,494","3,142,678",145,"364,310",Manchester Piccadilly,SPT,North West,Avanti West Coast,,,,,,,,,
Sevenoaks,,"968,632","1,320,686","850,634","3,139,952",146,"1,219,592",London Bridge,SEV,South East,Southeastern,,,,,,,,,
Sydenham (London),,"1,007,634","1,617,142","480,410","3,105,186",147,0,Canada Water,SYD,London,London Overground,,,,,,,,,
Grays,,"1,168,466","1,302,276","616,182","3,086,924",148,"101,106",London Fenchurch Street,GRY,East of England,c2c,,,,,,,,,
Hackney Wick,,"934,388","1,846,794","300,886","3,082,068",149,"1,629",Highbury and Islington,HKW,London,London Overground,,,,,,,,,
Feltham,,"1,094,338","1,355,358","626,882","3,076,578",150,0,London Waterloo,FEL,London,South Western Railway,,,,,,,,,
New Cross,,"814,422","1,422,338","834,570","3,071,330",151,"4,608,551",London Bridge,NWX,London,Southeastern,,,,,,,,,
Bedford,,"452,230","2,013,408","570,074","3,035,712",152,"40,131",London St Pancras International,BDM,East of England,Govia Thameslink Railway (Thameslink),,,,,,,,,
Huddersfield,,"1,114,946","1,461,262","444,422","3,020,630",153,"456,190",Leeds,HUD,Yorkshire and The Humber,TransPennine Express,,,,,,,,,
Hampstead Heath,,"926,766","1,615,566","429,906","2,972,238",154,0,West Hampstead,HDH,London,London Overground,,,,,,,,,
Raynes Park,,"978,960","1,407,364","553,530","2,939,854",155,"72,722",London Waterloo,RAY,London,South Western Railway,,,,,,,,,
Crewe,,"611,818","2,180,186","130,750","2,922,754",156,"1,072,874",London Euston,CRE,North West,Avanti West Coast,,,,,,,,,
Epsom (Surrey),,"1,106,806","1,412,816","367,332","2,886,954",157,"113,345",London Waterloo,EPS,South East,Govia Thameslink Railway (Southern),,,,,,,,,
West Hampstead Thameslink,,"950,624","1,474,470","437,354","2,862,448",158,"1,056,557",Elstree and Borehamwood,WHP,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Edmonton Green,,"937,288","1,447,922","476,080","2,861,290",159,"18,649",Seven Sisters,EDR,London,London Overground,,,,,,,,,
Brentwood,,"1,176,284","1,336,510","336,818","2,849,612",160,0,London Liverpool Street,BRE,East of England,Elizabeth line,,,,,,,,,
Gidea Park,,"1,197,504","1,398,436","208,652","2,804,592",161,0,London Liverpool Street,GDP,London,Elizabeth line,,,,,,,,,
Harrow and Wealdstone,,"779,622","1,623,542","401,364","2,804,528",162,"337,438",London Euston,HRW,London,London Underground,,,,,,,,,
Three Bridges,,"773,500","1,480,930","537,456","2,791,886",163,"718,405",London Blackfriars,TBD,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Maryland,,"899,600","1,470,492","418,054","2,788,146",164,0,London Liverpool Street,MYL,London,Elizabeth line,,,,,,,,,
Hackney Downs,,"882,316","1,561,256","306,708","2,750,280",165,"1,563,253",London Liverpool Street,HAC,London,London Overground,,,,,,,,,
Birmingham Snow Hill,,"727,288","1,078,192","912,838","2,718,318",166,"175,501",Stourbridge Junction,BSW,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Redhill,,"913,322","1,401,386","396,932","2,711,640",167,"883,275",London Bridge,RDH,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Imperial Wharf,,"945,076","1,201,314","560,540","2,706,930",168,0,Shepherd's Bush,IMW,London,London Overground,,,,,,,,,
Ipswich,,"549,326","1,742,224","391,024","2,682,574",169,"588,347",London Liverpool Street,IPS,East of England,Greater Anglia,,,,,,,,,
West Drayton,,"850,296","1,521,408","290,180","2,661,884",170,0,London Paddington,WDT,London,Elizabeth line,,,,,,,,,
University (Birmingham),,"909,998","1,047,160","676,330","2,633,488",171,0,Birmingham New Street,UNI,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Heathrow Terminal 5 (Rail Station Only),,"1,529,236","1,024,104","66,876","2,620,216",172,0,London Paddington,HWV,London,Heathrow Express,,,,,,,,,
Exeter St David's,,"321,222","2,164,386","131,714","2,617,322",173,"1,225,850",London Paddington,EXD,South West,Great Western Railway,,,,,,,,,
Harrow-On-The-Hill,,"1,020,080","1,498,606","97,256","2,615,942",174,0,Amersham,HOH,London,London Underground,,,,,,,,,
Exeter Central,,"670,552","1,463,460","474,372","2,608,384",175,"314,455",Exmouth,EXC,South West,Great Western Railway,,,,,,,,,
Paisley Gilmour Street,,"779,858","1,270,458","549,714","2,600,030",176,"75,085",Glasgow Central,PYG,Scotland,ScotRail,,,,,,,,,
Swindon (Wilts),,"309,476","2,053,654","224,884","2,588,014",177,"189,382",London Paddington,SWI,South West,Great Western Railway,,,,,,,,,
Queens Road (Peckham),,"780,976","1,316,672","482,050","2,579,698",178,0,Canada Water,QRP,London,Govia Thameslink Railway (Southern),,,,,,,,,
Tunbridge Wells,,"574,382","1,359,508","632,054","2,565,944",179,"72,163",London Bridge,TBW,South East,Southeastern,,,,,,,,,
New Malden,,"831,032","1,272,430","459,808","2,563,270",180,"27,938",London Waterloo,NEM,London,South Western Railway,,,,,,,,,
Stratford International,,"594,578","1,603,464","318,740","2,516,782",181,0,London St Pancras International,SFA,London,HS1 Ltd,,,,,,,,,
Hitchin,,"894,884","1,221,534","395,836","2,512,254",182,"77,171",London St Pancras International,HIT,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Stoke-On-Trent,,"632,446","1,745,752","127,190","2,505,388",183,"126,972",Manchester Piccadilly,SOT,West Midlands,Avanti West Coast,,,,,,,,,
Bolton,,"676,932","1,434,132","388,258","2,499,322",184,"422,583",Manchester Piccadilly,BON,North West,Northern Trains,,,,,,,,,
Elstree and Borehamwood,,"916,050","1,148,544","417,064","2,481,658",185,0,West Hampstead Thameslink,ELS,East of England,Govia Thameslink Railway (Thameslink),,,,,,,,,
Woolwich Arsenal,,"729,416","1,279,664","465,776","2,474,856",186,0,London Bridge,WWA,London,Southeastern,,,,,,,,,
Durham,,"59,574","2,260,842","126,318","2,446,734",187,"3,765",Newcastle,DHM,North East,London North Eastern Railway,,,,,,,,,
Hither Green,,"843,230","1,155,120","441,510","2,439,860",188,"437,506",London Bridge,HGR,London,Southeastern,,,,,,,,,
Limehouse,,"1,064,186","866,792","508,572","2,439,550",189,0,Barking,LHS,London,c2c,,,,,,,,,
Chichester,,"652,686","1,251,822","530,076","2,434,584",190,"40,719",London Victoria,CCH,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Bournemouth,,"433,204","1,895,664","101,256","2,430,124",191,"48,487",London Waterloo,BMH,South West,South Western Railway,,,,,,,,,
Crystal Palace,,"783,956","1,273,094","354,954","2,412,004",192,"114,639",Canada Water,CYP,London,London Overground,,,,,,,,,
Northampton,,"340,916","1,771,788","294,524","2,407,228",193,946,London Euston,NMP,East Midlands,West Midlands Trains (London Northwestern Railway),,,,,,,,,
