Station name,Ticket Barrier,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,"Three Letter Code
(TLC)",Region,Station facility owner,,,,,,,,,
Carlton,,"16,706","16,276","3,864","36,846","2,054",0,Nottingham,CTO,East Midlands,East Midlands Railway,,,,,,,,,
Trafford Park,,"17,526","12,866","6,376","36,768","2,055",0,Manchester Piccadilly,TRA,North West,Northern Trains,,,,,,,,,
Beauly,,"29,264","5,074","2,250","36,588","2,056",0,Inverness,BEL,Scotland,ScotRail,,,,,,,,,
Crowhurst,,"6,966","16,250","13,228","36,444","2,057",0,Hastings,CWU,South East,Southeastern,,,,,,,,,
Bentham,,"5,754","29,536","1,126","36,416","2,058",0,Lancaster,BEN,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Hutton Cranswick,,"6,492","20,574","9,302","36,368","2,059",0,Hull,HUT,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Lockwood,,"13,526","13,612","8,874","36,012","2,060",0,Leeds,LCK,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Shireoaks,,"7,718","23,230","4,578","35,526","2,061",0,Sheffield,SRO,East Midlands,Northern Trains,,,,,,,,,
Pemberton,,"16,174","13,712","5,608","35,494","2,062",0,Manchester Piccadilly,PEM,North West,Northern Trains,,,,,,,,,
Whitland,,"23,894","8,182","3,274","35,350","2,063","1,589",Carmarthen,WTL,Wales,TfW Rail,,,,,,,,,
Cromford,,"11,880","21,850","1,598","35,328","2,064",0,Derby,CMF,East Midlands,East Midlands Railway,,,,,,,,,
Habrough,,"7,118","24,382","3,576","35,076","2,065",357,Lincoln,HAB,Yorkshire and The Humber,East Midlands Railway,,,,,,,,,
Heighington,,"10,668","9,006","15,354","35,028","2,066",0,Bishop Auckland,HEI,North East,Northern Trains,,,,,,,,,
Devonport,,"8,982","16,538","9,450","34,970","2,067",0,Plymouth,DPT,South West,Great Western Railway,,,,,,,,,
